category,item,value,unit,source,status,notes
"isa","omcfg_rs1","configuration value","register operand","experiments/phase8b_omcfg_impl/implementation_summary.md","FROZEN","All 32 rs1 encodings collision-safe"
"isa","omcfg_imm12","cfg_id","12-bit immediate","experiments/phase8b_omcfg_impl/implementation_summary.md","FROZEN","Full 0x000..0xFFF namespace decode-safe"
"isa","omcfg_mask","0x00007FFF","hex","experiments/phase8b_omcfg_impl/implementation_summary.md","FROZEN",""
"isa","omcfg_match","0x0000105B","hex","experiments/phase8b_omcfg_impl/implementation_summary.md","FROZEN",""
"isa","omcfg_word_formula","(cfg_id << 20) | (rs1 << 15) | 0x0000105B","formula","experiments/phase8a_omcfg_encoding_audit/current_decoder_inventory.md","FROZEN","rd fixed x0"
"isa","omcfg_required_mask","0x1FF","9-bit mask","experiments/phase8b_omcfg_impl/implementation_summary.md","FROZEN","Nine data fields before INIT"
"isa","omcfg_reserved_namespace","0x00A..0xFFF","cfg_id","experiments/phase8b_omcfg_impl/cfg_mapping.md","FROZEN","No register write; invalidates context"
"isa","omcfg_unrepresented_fields","D; precision/mode; tile size; O addresses; stride; selector","field set","experiments/phase8b_omcfg_impl/cfg_mapping.md; hw/ip/online_merge/src/online_merge_omerge_adapter.sv","FROZEN","Not configurable in v1"
"isa","omerge_fixed_engine_context","mode=3; D=1; stride=0; O addresses=0","engine parameters","hw/ip/online_merge/src/online_merge_omerge_adapter.sv","FROZEN","O[D] remains software/RVV"
"isa_cfg","0x000","A_M","field","experiments/phase8b_omcfg_impl/cfg_mapping.md","FROZEN","MMIO equivalent 0xF0"
"isa_cfg","0x001","A_L","field","experiments/phase8b_omcfg_impl/cfg_mapping.md","FROZEN","MMIO equivalent 0xF8"
"isa_cfg","0x002","B_M","field","experiments/phase8b_omcfg_impl/cfg_mapping.md","FROZEN","MMIO equivalent 0x100"
"isa_cfg","0x003","B_L","field","experiments/phase8b_omcfg_impl/cfg_mapping.md","FROZEN","MMIO equivalent 0x108"
"isa_cfg","0x004","TILE_M","field","experiments/phase8b_omcfg_impl/cfg_mapping.md","FROZEN","MMIO equivalent 0x80"
"isa_cfg","0x005","TILE_L","field","experiments/phase8b_omcfg_impl/cfg_mapping.md","FROZEN","MMIO equivalent 0x88"
"isa_cfg","0x006","WEIGHT_OLD","field","experiments/phase8b_omcfg_impl/cfg_mapping.md","FROZEN","MMIO equivalent 0xD0"
"isa_cfg","0x007","WEIGHT_TILE","field","experiments/phase8b_omcfg_impl/cfg_mapping.md","FROZEN","MMIO equivalent 0xD8"
"isa_cfg","0x008","N","field","experiments/phase8b_omcfg_impl/cfg_mapping.md","FROZEN","MMIO equivalent 0xB0"
"isa_cfg","0x009","CTRL/INIT","field","experiments/phase8b_omcfg_impl/cfg_mapping.md","FROZEN","Equivalent to MERGE_CTRL.CLEAR_DONE commit semantics"
"isa_audit","phase8a_package_patterns","1063","pattern","experiments/phase8a_omcfg_encoding_audit/raw/audit_summary.json","FROZEN","Pre-OMCFG audit epoch"
"isa_audit","phase8a_snitch_active_patterns","441","pattern","experiments/phase8a_omcfg_encoding_audit/raw/audit_summary.json","FROZEN","199 unconditional + 242 TARGET_SPATZ"
"isa_audit","phase8a_spatz_active_patterns","345","pattern","experiments/phase8a_omcfg_encoding_audit/raw/audit_summary.json","FROZEN","Zero custom-opcode patterns"
"isa_audit","phase8a_custom_opcode_counts","custom-0=2; custom-1=8; custom-2=1; custom-3=0","active pattern counts","experiments/phase8a_omcfg_encoding_audit/raw/audit_summary.json","FROZEN","Pre-OMCFG audit epoch"
"isa_audit","safe_partial_blocked_families","22/1/9","family counts","experiments/phase8a_omcfg_encoding_audit/raw/audit_summary.json","FROZEN","Across 32 opcode/funct3 families"
"isa_audit","selected_family_full_words_checked","131072","word/family","experiments/phase8a_omcfg_encoding_audit/raw/audit_summary.json","FROZEN","Zero collisions"
"isa_audit","phase7_pre_omerge_snitch_patterns","440","pattern","experiments/phase7_omerge_instruction/formal/instruction_manifest.json","HISTORICAL_EPOCH","Do not mix with Phase8A count"
"isa_audit","phase8b_post_omcfg_snitch_patterns","442","pattern","experiments/phase8b_omcfg_impl/raw/provenance.md","FROZEN","Post-insertion static check; do not mix with Phase8A candidate audit"
"numerical","precision_positioning","stage-aware mixed precision","design term","experiments/phase3_reciprocal_hardware/report.md","FROZEN","Not runtime-adaptive"
"numerical","max_diff","FP16 RNE","format","hw/ip/online_merge/src/online_merge_update_engine.sv","FROZEN",""
"numerical","exp_lut_entries","256","entry","hw/ip/online_merge/src/online_merge_exp_approx.sv","FROZEN","One physical LUT"
"numerical","exp_lut_format","signed Q1.14","fixed point","hw/ip/online_merge/src/online_merge_exp_approx.sv","FROZEN","16-bit entry; direct lookup"
"numerical","exp_interpolation","none","mechanism","hw/ip/online_merge/src/online_merge_exp_approx.sv","FROZEN","Domain [-8,0]"
"numerical","recurrence_carrier","unsigned Q16.32","48-bit fixed point","hw/ip/online_merge/src/online_merge_fp32_helpers.sv","FROZEN","Legacy typedef name uq16_16_t"
"numerical","reciprocal_lut_entries","256","entry","hw/ip/online_merge/src/online_merge_recip_approx.sv","FROZEN","Terminal endpoint code[256] hardwired"
"numerical","reciprocal_lut_format","unsigned Q1.15","fixed point","hw/ip/online_merge/src/online_merge_recip_approx.sv","FROZEN","16-bit entry"
"numerical","reciprocal_interpolation","piecewise linear","mechanism","hw/ip/online_merge/src/online_merge_recip_approx.sv","FROZEN","With exponent correction"
"numerical","external_carrier","FP32 m/l/weights/O/V through TCDM and RVV","format","engine RTL; Phase 1 manifest","FROZEN",""
"numerical","winner_handling","exact unity bypass","mechanism","hw/ip/online_merge/src/online_merge_update_engine.sv","FROZEN","Equal converted maxima make both terms unity"
"tool","verilator_version","5.034","version","experiments/PROJECT_STATE.md","FROZEN",""
"tool","clang_version","14.0.6","version","experiments/PROJECT_STATE.md","FROZEN","PULP commit b494f2d8"
"tool","gcc_version","7.1.1","version","experiments/PROJECT_STATE.md","FROZEN","Support toolchain"
"tool","yosys_version","0.66+4","version","experiments/PROJECT_STATE.md","FROZEN","git 8125af88d"
"synthesis","standalone_library","Nangate45 typical Liberty","library","experiments/phase3_reciprocal_hardware/report.md","FROZEN","Area units are Liberty cell-area units"
"synthesis","timing_definition","pre-layout ABC reg-to-reg combinational-delay proxy","method","experiments/phase3_reciprocal_hardware/timing/timing_manifest.json","PARTIAL","Not Fmax"
"synthesis","cluster_top","spatz_cluster_wrapper","RTL top","experiments/phase6_integrated_cost_generality/report.md","FROZEN","Matched synthesis scope"
"synthesis","cluster_ppa_status","BLOCKED_RESOURCE","status","experiments/phase6_integrated_cost_generality/p0_1_integrated_cost/formal/synthesis_comparison.csv","BLOCKED_RESOURCE","r3/r4 OOM at techmap; no mapped-hier-stat"
"commit","mixed_reciprocal_rtl","ec2d70e42011a69432e31757d788edf3e683f627","git commit","git log","FROZEN",""
"commit","phase5_results","a8f2747526c0f9b6c11c6360101a78cd836604fe","git commit","git log","FROZEN",""
"commit","phase6_freeze","117caff8109c0f6c32cf07a8322a3397307c8e14","git commit","git log","FROZEN",""
"commit","omerge_implementation_freeze","eac2851cbb60754a2e63f64780901ab6fd12a9c0","git commit","experiments/phase7_omerge_instruction/formal/instruction_manifest.json","FROZEN","Tree fabf72c186506588a1d9352354ce35af57b2b20e"
"commit","omerge_formal_results","a62347923dd89cba08aff1c84bc55e34441404ca","git commit","experiments/phase7_omerge_instruction/formal/instruction_manifest.json","FROZEN","Subsequent c32c99c is schema provenance"
"commit","omcfg_implementation_freeze","7786820821102d34e32e9517a7630b028693f25a","git commit","experiments/phase8c_omcfg_runtime/final_report.md","FROZEN",""
"commit","phase8a_audit","dba04985afdf9c02681269614a97536da56d1423","git commit","git log","FROZEN",""
"commit","phase8c_results","e86ace2bdfe499554a7de9e9550ec6f24243f72e","git commit","git log","FROZEN",""
